date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:01	63474/63474	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e237c75-f7f2%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.eot?	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Boldd41d.eot	(from https://bchiang7.github.io/v2/css/main.css)
01:14:01	18040/18040	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-4678%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:02	24768/24768	---M--	200	added ('OK')	font/woff	etag:%225e237c75-60c0%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:02	63248/63248	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-f710%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:03	226532/226532	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-374e4%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.svg	(from https://bchiang7.github.io/v2/css/main.css)
01:14:03	18472/18472	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-4828%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-book.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-book.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:03	24356/24356	---M--	200	added ('OK')	font/woff	etag:%225e237c75-5f24%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-book.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-book.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:03	43012/43012	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-a804%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-book.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-book.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:04	20308/20308	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-4f54%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:04	26496/26496	---M--	200	added ('OK')	font/woff	etag:%225e237c75-6780%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:05	49428/49428	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-c114%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bookitalic.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:05	11128/11128	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-2b78%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-medium.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-medium.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:05	15484/15484	---M--	200	added ('OK')	font/woff	etag:%225e237c75-3c7c%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-medium.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-medium.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:06	26660/26660	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-6824%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-medium.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-medium.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:06	11420/11420	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-2c9c%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:06	15832/15832	---M--	200	added ('OK')	font/woff	etag:%225e237c75-3dd8%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:07	27588/27588	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-6bc4%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-mediumitalic.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:07	11560/11560	---M--	200	added ('OK')	font/woff2	etag:%225e237c75-2d28%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bold.woff2	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bold.woff2	(from https://bchiang7.github.io/v2/css/main.css)
01:14:07	15376/15376	---M--	200	added ('OK')	font/woff	etag:%225e237c75-3c10%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bold.woff	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bold.woff	(from https://bchiang7.github.io/v2/css/main.css)
01:14:08	26752/26752	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e237c75-6880%22	https://bchiang7.github.io/v2/fonts/whitney/whitney-bold.ttf	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/whitney/whitney-bold.ttf	(from https://bchiang7.github.io/v2/css/main.css)
01:14:08	47584/47584	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e237c75-b9e0%22	https://bchiang7.github.io/v2/fonts/gotham/Gotham-Book.eot	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/gotham/Gotham-Book.eot	(from https://bchiang7.github.io/v2/css/main.css)
01:14:08	47584/47584	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e237c75-b9e0%22	https://bchiang7.github.io/v2/fonts/gotham/Gotham-Book.eot?	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/gotham/Gotham-Bookd41d.eot	(from https://bchiang7.github.io/v2/css/main.css)
